stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code,zone_id,clean_stop_id
2578225,66500690,"Maastricht, De Geusselt",50.856313,5.718071,0,stoparea:418500,,0.0,,,2578225
2578226,66500700,"Maastricht, De Geusselt",50.856429,5.7182,0,stoparea:418500,,0.0,,,2578226
2578227,66500710,"Maastricht, Voltastraat",50.852117,5.710899,0,stoparea:418451,,0.0,,,2578227
2578228,66500720,"Maastricht, Voltastraat",50.85193,5.7105,0,stoparea:418451,,0.0,,,2578228
2578229,66500740,"Maastricht, Peutgensweg",50.856885,5.734563,0,stoparea:418508,,0.0,,,2578229
2578230,66500750,"Maastricht, Peutgensweg",50.856813,5.734506,0,stoparea:418508,,0.0,,,2578230
2578231,66500760,"Maastricht, Wagenlaan",50.859888,5.73433,0,stoparea:418544,,0.0,,,2578231
2578232,66500770,"Maastricht, Wagenlaan",50.85978,5.734358,0,stoparea:418544,,0.0,,,2578232
2578286,66580100,"Maastricht, Appiushof",50.843446,5.64962,0,stoparea:418397,,0.0,,,2578286
2578287,66580110,"Maastricht, Appiushof",50.84375,5.650274,0,stoparea:418397,,0.0,,,2578287
2578288,66580120,"Maastricht, Aramislaan",50.839135,5.674254,0,stoparea:418398,,0.0,,,2578288
2578289,66580130,"Maastricht, Aramislaan",50.83938,5.673559,0,stoparea:418398,,0.0,,,2578289
2578290,66580140,"Maastricht, Jekermolenweg",50.835536,5.672116,0,stoparea:418460,,0.0,,,2578290
2578291,66580150,"Maastricht, Jekermolenweg",50.835401,5.672456,0,stoparea:418460,,0.0,,,2578291
2578347,66581680,"Maastricht, Cantecleerstraat",50.858649,5.663723,0,stoparea:418425,,0.0,,,2578347
2578348,66581690,"Maastricht, Cantecleerstraat",50.858478,5.663623,0,stoparea:418425,,0.0,,,2578348
2578351,66581720,"Maastricht, Schepelruwe",50.861858,5.652011,0,stoparea:418523,,0.0,,,2578351
2578352,66581730,"Maastricht, Schepelruwe",50.861751,5.651939,0,stoparea:418523,,0.0,,,2578352
2578353,66581740,"Maastricht, Pierebolruwe",50.860664,5.6477,0,stoparea:418509,,0.0,,,2578353
2578354,66581750,"Maastricht, Pierebolruwe",50.860789,5.64773,0,stoparea:418509,,0.0,,,2578354
2398709,32570,"Maastricht, Dousberg",50.856295,5.655714,0,,,0.0,,,2398709
2578355,66581760,"Maastricht, Dousbergweg/Via Regia",50.856348,5.655884,0,stoparea:418433,,0.0,,,2578355
2398458,32571,"Maastricht, Dousberg",50.856998,5.654866,0,,,0.0,,,2398458
2578356,66581770,"Maastricht, Dousbergweg/Via Regia",50.857007,5.654965,0,stoparea:418433,,0.0,,,2578356
2578358,66581820,"Maastricht, Bankastraat",50.84294,5.669762,0,stoparea:418403,,0.0,,,2578358
2578359,66581840,"Maastricht, Madoerastraat",50.84255,5.667205,0,stoparea:418479,,0.0,,,2578359
2578360,66581850,"Maastricht, Madoerastraat",50.84263,5.667617,0,stoparea:418479,,0.0,,,2578360
2398084,32532,"Maastricht, Javastraat",50.841394,5.665892,0,,,0.0,,,2398084
2578361,66581860,"Maastricht, Javastraat",50.841421,5.665948,0,stoparea:418459,,0.0,,,2578361
2578362,66590100,"Maastricht, Centre Céramique",50.845257,5.701963,0,stoparea:418530,,1.0,,,2578362
2578363,66590110,"Maastricht, Centre Céramique",50.846262,5.702538,0,stoparea:418530,,1.0,,,2578363
2399039,132800,"Maastricht, Boschstraat/Maagdendries",50.854296,5.689897,0,,,1.0,,,2399039
