route_id,service_id,trip_id,realtime_trip_id,trip_headsign,trip_short_name,trip_long_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
90787,3285,178414783,ARR:26003:1017,P+R Noord,1017,,1,,1129900.0,0,
90787,3285,178414749,ARR:26003:1145,Nazareth,1145,,1,,1129901.0,0,
90787,3285,178414817,ARR:26003:1069,P+R Noord,1069,,1,,1129900.0,0,
90787,3285,178414806,ARR:26003:1038,Wolder,1038,,0,,1129899.0,0,
90790,3285,178415122,ARR:26006:1222,Maastricht Station,1222,,0,,1129935.0,0,
90790,3285,178415104,ARR:26006:1202,Daalhof,1202,,0,,1129933.0,0,
90793,3285,178415224,ARR:26009:1006,Maastricht,1006,,0,,1129961.0,0,
90793,3285,178415229,ARR:26009:1018,Maastricht Kon Emmaplein,1018,,0,,1129960.0,0,
90793,3285,178415242,ARR:26009:1069,Limmel,1069,,1,,1129959.0,0,
90793,3285,178415249,ARR:26009:1090,Maastricht Kon Emmaplein,1090,,0,,1129960.0,0,
90793,3285,178415268,ARR:26009:1102,Maastricht,1102,,0,,1129956.0,0,
90790,3285,178415103,ARR:26006:1133,Amby,1133,,1,,1129932.0,0,
90787,3285,178414836,ARR:26003:1126,Wolder,1126,,0,,1129899.0,0,
90793,3285,178415257,ARR:26009:1029,Bunde,1029,,1,,1129957.0,0,
90793,3285,178415263,ARR:26009:1041,Bunde,1041,,1,,1129957.0,0,
90793,3285,178415190,ARR:26009:1062,Maastricht,1062,,0,,1129961.0,0,
90790,3285,178415015,ARR:26006:1042,Maastricht Markt,1042,,0,,1129936.0,0,
90790,3285,178414936,ARR:26006:1085,Amby,1085,,1,,1129932.0,0,
90793,3285,178415252,ARR:26009:1094,Maastricht,1094,,0,,1129961.0,0,
90793,3285,178415255,ARR:26009:1025,Limmel,1025,,1,,1129959.0,0,
90793,3285,178415181,ARR:26009:1061,Limmel,1061,,1,,1129959.0,0,
90793,3285,178415248,ARR:26009:1085,Limmel,1085,,1,,1129959.0,0,
